,Hispanic,White,Black,Native,Asian,Sub_Boro_Name,Unbanked_2013,Underbanked_2013,Median_income_2013,Unemployment_2013,%_Poor_2013,Aggregate_Banking
0,0.6850073285903168,0.016945747025121197,0.27911892589561166,0.0025436819240697603,0.008180205250897186,Mott Haven / Hunts Point,0.31,0.3,23083,0.12,0.4,0.61
1,0.5796375633100053,0.028504020151782886,0.2945609521609994,0.0015694275110507178,0.06894778905079302,Soundview / Parkchester,0.22,0.29,32363,0.17,0.28,0.51
2,0.6884957667743411,0.014520967004439727,0.27014977063881884,0.00126328598610558,0.015459902355561453,University Heights / Fordham,0.3,0.33,24261,0.16,0.39,0.63
3,0.6318948694003452,0.01625978436200017,0.31788429974247956,0.005015967682598975,0.01593325692616804,Highbridge / S. Concourse,0.26,0.34,26387,0.15,0.34,0.6000000000000001
4,0.6357212019445293,0.0464476409666283,0.29628466334750236,0.0024561482820976495,0.007543793006270402,Morrisania / East Tremont,0.28,0.31,24259,0.18,0.39,0.5900000000000001
5,0.3617291144342779,0.3153020758595671,0.272254375428272,0.0023668426780603814,0.030156765689870614,Throgs Neck / Co-op City,0.1,0.27,56059,0.09,0.08,0.37
6,0.44912153382860986,0.2278206151212205,0.22238155400654255,0.0002580406004463603,0.08057887737320002,Pelham Parkway,0.15,0.28,43075,0.13,0.17,0.43000000000000005
7,0.6722373921156987,0.0780200373221367,0.1622376875826141,0.0018805613871394138,0.06586539149366301,Kingsbridge Heights / Mosholu,0.24,0.31,29069,0.18,0.34,0.55
8,0.45693741832305235,0.33973659584190075,0.1291619648160841,0.0022825405528901074,0.05189522503998171,Riverdale / Kingsbridge,0.11,0.26,60614,0.12,0.12,0.37
9,0.22740107433744525,0.07422616270135093,0.6537390715153885,0.0027557244443202618,0.02229747551656212,Williamsbridge / Baychester,0.16,0.35,45633,0.14,0.19,0.51
10,0.16637429201828813,0.44567091266140463,0.26079281820318606,0.0010226402505136897,0.08787602453578387,Brooklyn Heights / Fort Greene,0.09,0.23,76040,0.09,0.14,0.32
11,0.4197195240217022,0.21977375304694252,0.026447979189054602,0.0025046850837417765,0.3163799045946583,Sunset Park,0.12,0.23,45075,0.11,0.28,0.35
12,0.1510250314145409,0.5791815336463222,0.013733612402383653,0.001795277411596013,0.23872147829505772,Bay Ridge,0.06,0.19,58621,0.1,0.13,0.25
13,0.18630571995513767,0.6381114657924252,0.06886947631783281,0.0007469157104650159,0.06553955655249763,Park Slope / Carroll Gardens,0.07,0.19,101789,0.05,0.09,0.26
14,0.11686038144304962,0.7102021926323684,0.0207393754686404,0.002719287424715188,0.133789196478243,Borough Park,0.08,0.21,40571,0.07,0.28,0.29
15,0.1255164739653935,0.1939312016585599,0.6131083167211545,0.002268878079897935,0.03622117056056135,North Crown Heights / Prospect Heights,0.19,0.29,39034,0.09,0.26,0.48
16,0.1404494817490113,0.45061438747115684,0.009849445843695716,0.0006219751091679999,0.38744468205315047,Bensonhurst,0.06,0.2,47272,0.09,0.14,0.26
17,0.09654142790631044,0.18396685409354624,0.6755639370388938,0.001821216245254638,0.018735190888904803,South Crown Heights,0.16,0.37,46294,0.14,0.16,0.53
18,0.19025662597209517,0.21270714918801462,0.5542554894784996,0.001958771729185727,0.02278554580283623,Bedford Stuyvesant,0.21,0.29,37195,0.16,0.32,0.5
19,0.6280532582461786,0.13424270460030718,0.17527888539457326,0.0015992686316097418,0.047297359760111166,Bushwick,0.2,0.29,43354,0.15,0.23,0.49
20,0.21077857921063722,0.018646154580228554,0.745289939322608,0.002190103938861365,0.013137482405146844,Brownsville / Ocean Hill,0.28,0.33,27933,0.16,0.33,0.6100000000000001
21,0.14805743011371011,0.5824426069858465,0.11205935929065647,0.00269615463095216,0.14052368806692764,Coney Island,0.1,0.24,30850,0.13,0.19,0.33999999999999997
22,0.08382227007938793,0.7010995458771127,0.03551307191728142,0.0021337087594218798,0.16540941953865396,Sheepshead Bay / Gravesend,0.06,0.2,51064,0.08,0.12,0.26
23,0.23156823850426886,0.6394175127151482,0.04083624973137014,0.0010426160969542254,0.06634264149468924,Williamsburg / Greenpoint,0.1,0.22,52419,0.06,0.21,0.32
24,0.14461546478086906,0.40201087435253247,0.3248997921900685,0.0009058838125368321,0.10469077882199682,Flatbush,0.12,0.28,42312,0.1,0.21,0.4
25,0.06988055130168455,0.14907526368475826,0.7305173259614299,0.0031759577839210306,0.035099991381767795,Flatlands / Canarsie,0.09,0.33,66283,0.09,0.09,0.42000000000000004
26,0.0671224346297517,0.019925869772211238,0.8833462535706437,0.0013937596132718086,0.012589950926536293,East Flatbush,0.16,0.41,42666,0.11,0.15,0.57
27,0.3706071217695416,0.041626016260162595,0.5247396881630428,0.0015824784744256062,0.03977734737443144,East New York / Starrett City,0.22,0.34,36943,0.13,0.26,0.56
28,0.24662170518997373,0.3208919253521986,0.07748779654814905,0.004025516862840764,0.31886432884064153,Lower East Side / Chinatown,0.1,0.19,40133,0.11,0.29,0.29000000000000004
29,0.06834129982318438,0.7167816098703569,0.022602125702205954,0.0015884567454181266,0.15718052157346327,Greenwich Village / Financial District,0.03,0.17,125311,0.04,0.04,0.2
30,0.08254522489554035,0.7024933500832946,0.03400817243356911,0.0013561801895294536,0.15624057814676237,Stuyvesant Town / Turtle Bay,0.03,0.16,108077,0.03,0.05,0.19
31,0.14800447779175926,0.6114944111268774,0.05569978046103182,0.001759149688094027,0.15543232443575808,Chelsea / Clinton / Midtown,0.05,0.2,100635,0.06,0.08,0.25
32,0.07946007421940487,0.7775874706044941,0.028646959405882272,0.0006354549450151113,0.08814905503926197,Upper East Side,0.04,0.18,107690,0.04,0.03,0.22
33,0.14413763506112143,0.679765933483844,0.06220974651451025,0.00062455965317384,0.08567060257445398,Upper West Side,0.05,0.19,99273,0.07,0.06,0.24
34,0.46516643516425726,0.1392265572989011,0.296467440350459,0.00015010397060878286,0.07428358908185324,East Harlem,0.19,0.27,26941,0.13,0.3,0.46
35,0.22890178253254584,0.12629031548778916,0.5839747291323895,0.002471457491413364,0.03133141760999614,Central Harlem,0.2,0.3,36917,0.11,0.26,0.5
36,0.3810249776984835,0.27939178999214687,0.2253093239400108,0.0010735911922352603,0.08378868836585161,Morningside Heights / Hamilton Heights,0.15,0.26,45600,0.08,0.17,0.41000000000000003
37,0.7064562403306623,0.17065135890271788,0.07879637472002216,0.0004576073152146304,0.02676050984829243,Washington Heights / Inwood,0.18,0.3,37462,0.14,0.25,0.48
38,0.32930652399780663,0.28041061791105076,0.014715475194089294,0.0007597621864988888,0.3541502496464544,Sunnyside / Woodside,0.07,0.23,61836,0.06,0.12,0.30000000000000004
39,0.412637023060249,0.18288215246402545,0.06574298790838576,0.003129194849964744,0.2598385847849365,Kew Gardens / Woodhaven,0.07,0.25,62532,0.09,0.15,0.32
40,0.2783259716501368,0.48393017235428115,0.06595039924523093,0.0013546379179418735,0.14637476701106836,Astoria,0.1,0.23,50960,0.1,0.16,0.33
41,0.25031902388324073,0.2262543349216457,0.15827004237939438,0.0045282273116532355,0.2007395167724322,Howard Beach / S. Ozone Park,0.06,0.24,62671,0.13,0.08,0.3
42,0.1706920230627892,0.01648587720965596,0.628271786098967,0.004548569135567806,0.11418379268833555,Jamaica,0.11,0.34,51449,0.15,0.13,0.45
43,0.18413327292610537,0.3215506764568037,0.11442040306202159,0.0016154475863146384,0.3381759537572255,Hillcrest / Fresh Meadows,0.05,0.23,57531,0.09,0.11,0.28
44,0.5024994073929473,0.0649849756682516,0.08000497789924285,0.0018508303470585773,0.33478164870253924,Elmhurst / Corona,0.12,0.28,46489,0.07,0.18,0.4
45,0.6675733266537431,0.1020959465051948,0.050481322558863874,0.0009613600226525234,0.16197694996841716,Jackson Heights,0.14,0.32,49181,0.07,0.16,0.46
46,0.11662597132099656,0.12326831991508451,0.5596232576303771,0.0015015521108707843,0.1499285578386606,Bellerose / Rosedale,0.06,0.3,76885,0.1,0.07,0.36
47,0.35984337624475315,0.5399605542773844,0.013631055457009541,0.0005211249465802585,0.07706645123143482,Middle Village / Ridgewood,0.09,0.23,58564,0.08,0.1,0.32
48,0.14987548148730448,0.5185118919721545,0.030733939505105293,0.0018294945365930355,0.2679463791281258,Forest Hills / Rego Park,0.04,0.22,61654,0.06,0.08,0.26
49,0.17066385042603469,0.27034839282358447,0.020122452488434493,0.00330920003038821,0.5129074758993512,Flushing / Whitestone,0.05,0.19,50490,0.07,0.14,0.24
50,0.23868597425094815,0.34717532396545486,0.3570498919414381,0.0011008182177485138,0.03610501442182363,Rockaways,0.14,0.26,46731,0.08,0.15,0.4
51,0.11662181076079056,0.42064537477691855,0.01731260327847181,0.002161312710688082,0.41688988862449605,Bayside / Little Neck,0.03,0.16,72158,0.07,0.06,0.19
52,0.2910559049088653,0.3798865310763305,0.22494780197468411,0.0019197770068800691,0.07566239514566486,North Shore,0.11,0.23,60721,0.08,0.15,0.34
53,0.13118303023039815,0.6902370944063277,0.03688876322018156,0.0007192752494232557,0.12644852742906793,Mid-Island,0.06,0.17,68661,0.07,0.11,0.23
54,0.09987354058742672,0.8354290207754322,0.009659807552628893,0.0007861829270488802,0.04570059607061606,South Shore,0.04,0.16,85165,0.06,0.06,0.2
