 Riverdale / Kingsbridge, Williamsbridge / Baychester, Throgs Neck / Co-op City, Pelham Parkway, Morrisania / East Tremont, Kingsbridge Heights / Mosholu, University Heights / Fordham, Highbridge / S. Concourse, Soundview / Parkchester, Mott Haven / Hunts Point
26701,35600,11000,20000,6000,23702,5300,5902,200,100
26702,35800,11800,22401,12101,25300,20501,6100,400,1900
27300,36400,13000,22403,12300,25500,20502,6300,1600,2300
27700,36800,13200,22404,12500,26100,21301,14300,2000,2500
27900,37000,13800,22800,13300,26300,21501,17100,2400,2701
28100,37200,14400,23000,13500,26500,21502,17300,2800,2702
28300,37400,15200,23200,14100,26900,21700,17500,3800,3100
28500,37600,15800,23600,14500,39901,22701,17701,4001,3300
28700,37800,16000,23800,14701,39902,22702,17702,4200,3500
28900,38000,16200,24000,14702,40100,22703,17901,4400,3700
29301,38200,16400,24400,14900,40302,22901,17902,4600,3900
29302,38600,16600,24600,15100,40501,22902,18101,4800,4100
29500,38800,18400,24800,15300,40502,23100,18102,5001,4300
29700,39000,19400,25000,15500,40702,23301,18301,5002,5100
30100,39200,26400,25200,15700,41100,23302,18302,5200,6500
30701,39400,26601,25400,16100,41300,23501,18900,5400,6700
30900,39600,26602,25600,16300,41500,23502,19300,5600,6900
31900,39800,27401,28400,16500,41900,23703,19500,6200,7100
32300,40400,27402,28600,16700,42100,23704,19700,6400,7300
33500,40600,27600,28800,16900,42300,23900,19900,6800,7500
33700,40800,30000,29600,18500,42500,24100,20100,7000,7700
34300,41400,30200,31000,22000,42901,24300,20900,7200,7900
34500,41800,46201,31200,33400,42902,24501,21100,7400,8300
35100,42000,46202,31400,35900,43100,24502,21302,7600,8500
40303,42200,50400,31600,36100,,24700,21900,7800,8700
40304,42400,51600,31800,36300,,24900,22101,8400,8900
40701,42600,,32400,36501,,25100,22102,8600,9300
40900,42800,,32600,36502,,25700,22300,9000,11502
,43000,,32800,36700,,37900,22500,9200,11700
,43400,,33000,36901,,38100,,9600,11900
,43500,,33201,36902,,38301,,9800,12102
,43600,,33202,37100,,38302,,20200,12701
,44200,,33600,37300,,,,20400,12901
,44400,,33800,37504,,,,20601,13100
,44800,,34000,38500,,,,21001,15900
,44901,,34200,38700,,,,21002,
,44902,,34400,38900,,,,21200,
,45101,,34800,39100,,,,21601,
,45102,,35000,39300,,,,21602,
,45600,,36000,39500,,,,21800,
,45800,,,39700,,,,22200,
,46000,,,,,,,,
,48400,,,,,,,,