 Williamsburg / Greenpoint, Bushwick, Bedford Stuyvesant, Brooklyn Heights / Fort Greene, Park Slope / Carroll Gardens, North Crown Heights / Prospect Heights, Brownsville / Ocean Hill, East New York / Starrett City, Flatlands / Canarsie, East Flatbush, South Crown Heights, Sunset Park, Bay Ridge, Borough Park, Flatbush, Sheepshead Bay / Gravesend, Bensonhurst, Coney Island
44900,28501,23300,100,4500,16100,30100,105801,69800,78000,21300,200,3000,11400,45600,38800,16800,30600
47700,38900,24100,301,4700,16300,30300,105804,70000,78200,31900,1800,3400,11600,45800,39000,17000,30800
48100,39100,24300,501,4900,20300,36100,107000,70201,78400,32100,2000,3600,19200,46000,39200,17200,31400
49100,39300,24500,502,5100,20500,36300,107800,70202,79000,32300,2200,3800,21400,46201,39400,17400,32600
49500,39500,24900,700,5300,20700,36501,109800,70203,79200,32500,7200,4400,21600,48000,39600,17600,32800
49700,39700,25100,900,5900,21500,36502,110400,70600,79400,32700,7400,4600,21800,48200,41401,17800,33000
49900,39900,25300,1100,6300,21700,36700,110600,72000,81400,32900,7600,5000,22000,50600,41402,18000,33600
50100,40100,25500,1300,6500,21900,36900,111000,72200,81600,33100,7800,5201,22200,50801,41600,18200,34000
50300,40300,25700,1500,6700,22100,37100,111600,72400,81800,33300,8000,5202,22400,50803,41800,18400,34200
50500,40500,25901,2100,7500,24700,37300,111800,72600,82400,33500,8200,5400,22600,50804,42000,18600,34800
50900,40700,25902,2300,7700,27100,89200,112000,72800,82600,35500,8400,5601,22800,51001,42200,18800,35000
51100,40900,26100,2901,8500,29700,89400,112400,73000,82800,79601,8600,5602,23000,51002,54800,19000,35200
51300,41100,26300,3100,11700,29900,89600,114201,73200,83000,79602,8800,5800,23200,51200,55000,24800,35400
51500,41300,26500,3300,11900,30500,89800,114202,73400,83200,79801,9000,6000,23400,51400,55200,25000,35601
51700,41500,26700,3500,12100,30700,90000,114600,73600,83400,79802,9200,6200,23600,51601,55400,25200,35602
51900,41700,26900,3700,12901,30900,90200,115000,73800,83600,80000,9400,6400,23800,51602,55600,25400,36001
52300,41900,27300,3900,12902,31100,90600,115200,74000,83800,80200,9600,6600,24000,51800,55800,25600,36002
52500,42100,27500,4100,13100,31300,90800,116000,74200,84000,80400,9800,6800,24200,52000,56000,25800,36200
52700,42300,27700,4300,13300,31500,91000,116200,74400,84600,80600,10000,7000,24400,52600,56200,26000,36400
52900,42500,27900,6900,13500,31701,91200,116400,74600,84800,80800,10100,12600,24600,52800,56400,26200,36600
53300,42700,28100,7100,13700,31702,91600,116600,77600,85000,81000,10200,12801,43800,53000,56600,26400,37000
53500,42900,28300,12700,13900,33700,91800,116800,94401,85200,82000,10400,13000,44000,53200,56800,26600,37401
53700,43100,28502,17900,14100,33900,92000,117000,94402,85400,82200,10600,13200,44200,53400,57000,26800,37402
53900,43300,28700,18100,14300,34100,92200,117201,95000,85600,87401,10800,13400,44400,53800,57200,27000,38200
54500,43500,28900,18300,14900,34300,92400,117202,95400,85800,87600,11000,13600,44600,54200,57400,27200,38600
54700,43700,29100,18501,15100,34500,112200,117400,95600,86000,87800,11200,13800,44800,54400,57600,27400,39800
54900,43900,29300,18700,15300,34700,112600,117601,95800,86200,88000,11800,14000,45000,54600,57800,27600,61002
55100,44100,29500,19100,15500,34900,112800,117602,96000,86400,,12000,14200,45200,74800,58000,27800,61003
55300,44300,37500,19300,15700,35100,113000,117800,96200,86600,,12200,14800,45400,75000,58200,28000,61004
55500,44500,37700,19500,15900,35300,113200,118000,96400,86800,,14500,15000,46202,75200,58400,28200,
55700,44700,37900,19700,16500,35700,113400,118201,96600,87000,,14700,15200,46400,75400,58600,28400,
56100,45300,38300,19900,16700,35900,114400,118202,96800,87200,,16900,15400,46800,75600,58800,28600,
56300,48500,38500,20100,17700,38100,115600,118400,97000,88200,,17100,16000,47000,75800,59000,28800,
56500,48900,38700,21100,,,115800,118600,97400,88400,,17500,16200,47200,76000,59200,29000,
56900,49300,50700,22700,,,,118800,98200,88600,,50000,16400,47400,76200,59401,29200,
57100,,53100,22900,,,,119000,98400,88800,,50202,16600,47600,76400,59402,29400,
57300,,123700,23100,,,,119200,98600,89000,,50400,19400,47800,76600,59600,29600,
57500,,,23500,,,,119400,98800,92800,,150200,19600,48400,76800,59800,29800,
57900,,,54300,,,,119600,99000,93000,,,19800,48600,77000,60000,30000,
58900,,,,,,,119800,99200,93200,,,20000,48800,77200,60600,30200,
59100,,,,,,,120000,99400,93400,,,20200,49000,77400,60800,30400,
59300,,,,,,,120200,99600,93600,,,20400,49200,78600,61200,40000,
,,,,,,,120800,99800,93800,,,20600,49400,78800,61600,40200,
,,,,,,,121000,100400,94600,,,20800,49600,152200,62000,40400,
,,,,,,,121400,100600,,,,21000,49800,,62200,40600,
,,,,,,,122000,100800,,,,21200,,,62600,40800,
,,,,,,,,101000,,,,,,,62800,41000,
,,,,,,,,101200,,,,,,,63200,41200,
,,,,,,,,101400,,,,,,,63800,42400,
,,,,,,,,101600,,,,,,,64200,42600,
,,,,,,,,101800,,,,,,,,42800,
,,,,,,,,102000,,,,,,,,43000,
,,,,,,,,102200,,,,,,,,43200,
,,,,,,,,102400,,,,,,,,43400,
,,,,,,,,102600,,,,,,,,43600,
,,,,,,,,102800,,,,,,,,,
,,,,,,,,103400,,,,,,,,,