Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address1,Organization Website
AAFE Community Development Fund,Loan Fund,N,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://aafecdf.org/
"Accompany Capital, Inc.",Loan Fund,N,New York,NY,10271--309,"120 Broadway, Suite 230",www.nybcna.org
Ascendus Inc.,Loan Fund,N,New York,NY,10038--481,80 Maiden Lane  Suite 903,us.accion.org/east
BOC Capital Corp.,Loan Fund,N,Brooklyn,NY,11217--160,"85 South Oxford, 2nd floor",www.boccapital.org
"Brooklyn Alliance Capital, Inc.",Loan Fund,N,Brooklyn,NY,11201--373,"335 Adams Street, Suite 2700",www.ibrooklyn.com
Brooklyn Cooperative Federal Credit Union,Credit Union,N,Brooklyn,NY,11237--512,1474 Myrtle Avenue,www.brooklyn.coop
Business Resource and Investment Service Center Inc.,Loan Fund,N,New York,NY,10027--451,"55 West 125th St, 11th Floor",Non given
CAMBA Economic Development Corporation,Loan Fund,N,Brooklyn,NY,11226--267,1720 Church Avenue,www.camba.org
Carver Federal Savings Bank,Bank or Thrift,N,New York,NY,10035,1825 Park Avenue,http://carverbank.com
CheckSpring Community Corporation,Bank Holding Company,N,Bronx,NY,10452--820,69 E 167th Street,http://www.springbankny.com
"Community Development Trust, LP, The",Loan Fund,N,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz
"Community Development Venture Capital Alliance, The",Venture Capital,N,New York,NY,10115--005,"475 Riverside Dr., Suite 1264",www.cdvca.org
Community Partnership Development Corporation,Loan Fund,N,New York,NY,10001,253 West 35th Street  3rd Floor,www.housingpartnership.com
Community Preservation Corporation,Loan Fund,N,New York,NY,10017,"220 E 42nd Street, 16th Floor",www.communityp.com
Concord Federal Credit Union,Credit Union,N,Brooklyn,NY,11216,833 Gardner C. Taylor Blvd.,https://concordfcu.org/
Corporation for Supportive Housing,Loan Fund,N,New York,NY,10006--270,"61 Broadway, 23rd Floor",www.csh.org
"Credit, Inc.",Loan Fund,N,Bronx,NY,10455--390,555 Bergen Avenue,Non given
Entertainment Industries FCU,Credit Union,N,New York,NY,10022--321,550 Madison Ave.,http://www.eifcu.org
Fidelis Federal Credit Union,Credit Union,N,NEW YORK,NY,10031--181,448 West 152nd Street,Not Available
"Finest Federal Credit Union, The",Credit Union,N,New York,NY,10038,"59 Maiden Lane
Lobby",thefinestfcu.org
"Grameen America, Inc.",Loan Fund,N,New York,NY,10001--415,150 West 30th Street  8th Floor,http://www.grameenamerica.org
"Habitat for Humanity NYC Fund, Inc.",Loan Fund,N,New York,NY,10038--310,111 John Street 23rd Floor,Non given
"Harlem Entrepreneurial Fund, LLC",Loan Fund,N,New York,NY,10027--484,361 West 125th Street,http://harlemcommonwealth.org
"IRC's Center For Economic Opportunity, Inc. (CEO)",Loan Fund,N,New York,NY,10168--128,"c/o Jennifer Sime 
122 E. 42nd Street, 12th Floor",http://irc-ceo.org/
Local Initiatives Support Corporation,Loan Fund,N,New York,NY,10005,"28 Liberty Street
Floor 34",www.lisc.org
Lower East Side Peoples Federal Credit Union,Credit Union,N,New York,NY,10009--744,37 Avenue B,www.lespfcu.org
National Federation of Community Development Credit Unions,Loan Fund,N,New York,NY,10006--306,39 Broadway  Suite 2140,www.cdcu.coop
"National Minority Supplier Development Council Business Consortium Fund, Inc.",Loan Fund,N,New York,NY,10022,"575 Lexington Avenue, 4th Floor",http://www.bcfcapital.com
"Neighborhood Housing Services of New York City, Inc.",Loan Fund,N,New York,NY,10018--649,"307 West 36th Street, 12th floor",www.nhsnyc.org
Neighborhood Trust Federal Credit Union,Credit Union,N,New York,NY,10032--380,1112 St Nicholas Ave,www.neighborhoodtrustfcu.org
New Covenant Dominion Federal Credit Union,Credit Union,N,Bronx,NY,10456,1185 Boston Road,www.newcovenantcreditunion.org
New York University FCU,Credit Union,N,New York,NY,10003--950,"726 Broadway, Suite 110",http://www.nyufcu.com
Nonprofit Finance Fund,Loan Fund,N,New York,NY,10004--265,"5 Hanover Square, 9th FL",www.nff.org
PDL Community Bancorp,Bank Holding Company,N,Bronx,NY,10462--501,2244 Westchester Avenue,www.poncebank.com
Ponce Bank,Bank or Thrift,N,Bronx,NY,10462--501,2244 Westchester Avenue,https://www.poncebank.com
Primary Care Development Corporation,Loan Fund,N,New York,NY,10006--300,45 Broadway  Suite 530,www.pcdc.org
Quontic Bank,Bank or Thrift,N,New York,NY,10020,"1 Rockefeller Plaza, 9th Floor",https://www.quonticbank.com/
Quontic Bank Holdings Corp,Bank Holding Company,N,New York,NY,10020,"1 Rockefeller Plaza, 9th Floor",http://www.quonticbank.com
Renaissance Economic Development Corporation,Loan Fund,N,New York,NY,10002--622,"2 Allen Street, 7th Floor",http://www.renaissance-ny.org/
Savoy Bank,Bank or Thrift,N,New York,NY,10020--232,"600 5th Avenue
17th Floor",https://www.banksavoy.com/index.html
Spring Bank,Bank or Thrift,N,Bronx,NY,10452--820,69 East 167th St,www.springbankny.com
Sustainable Neighborhoods LLC,Loan Fund,N,New York,NY,10004--200,"55 Broad Street, 10th Floor",http://cnycn.org/
"The Community Development Trust, Inc.",Loan Fund,N,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz
"The Working World, Inc. dba Seed Commons",Loan Fund,N,New York,NY,10038,"116 Nassau Street, #513",Non given
"TruFund Financial Services, Inc.",Loan Fund,N,New York,NY,10018--232,"39 West 37th Street, 7th Floor",http://www.trufund.org
Upper Manhattan Empowerment Zone,Loan Fund,N,New York,NY,10027--499,"55 West 125th Street, 11th Floor",http://www.umez.org
Urban Upbound Federal Credit Union,Credit Union,N,Long Island City,NY,11101--610,13-03B 40th Avenue  Ground Floor,http://www.urbanupbound.org
Vital Healthcare Capital,Loan Fund,N,New York,NY,10004--278,"85 Broad Street, 18th Floor",www.VitalCap.org
"Women's Venture Fund, Inc.",Loan Fund,N,New York,NY,10004,"50 Broadway, 29 Fl",www.wvf-ny.org