 Washington Heights / Inwood, Morningside Heights / Hamilton Heights, Central Harlem, East Harlem, Upper East Side, Upper West Side, Chelsea / Clinton / Midtown, Stuyvesant Town / Turtle Bay, Lower East Side / Chinatown, Greenwich Village / Financial District
23900,19300,18600,15602,10602,14300,5200,4400,201,100
24100,19500,19000,15802,11000,14500,5400,4800,202,500
24301,19701,19702,16002,11401,14700,5600,5000,600,700
24500,19900,20000,16200,11402,14900,5800,6000,800,900
24700,20101,20102,16400,11600,15100,7400,6200,1001,1300
24900,20300,20600,16600,11800,15300,7600,6400,1002,1501
25100,20500,20800,16800,12000,15500,8100,6600,1200,1502
25300,20701,21200,17000,12200,15700,8300,6800,1401,2100
25500,20901,21400,17200,12400,15900,8400,7000,1402,3100
26100,21100,21500,17401,12600,16100,8700,7200,1600,3300
26300,21303,21600,17402,12800,16300,8900,7800,1800,3700
26500,21703,21800,17800,13000,16500,9100,8000,2000,3900
26700,21900,22000,18000,13200,16700,9300,8200,2201,4100
26900,22301,22102,18200,13400,16900,9400,8601,2202,4300
27100,22302,22200,18400,13600,17100,9500,8602,2400,4500
27300,22500,22400,18800,13800,17300,9600,8603,2500,4700
27500,22700,22600,19200,14000,17500,9700,8800,2601,4900
27700,22900,22800,19400,14200,17700,9900,9000,2602,5501
27900,23100,23000,19600,14401,17900,10100,9200,2700,5502
28100,23300,23200,19800,14402,18100,10200,9800,2800,5700
28300,23501,23400,21000,14601,18300,10300,10000,2900,5900
28500,23700,23502,24000,14602,18500,10400,10601,3001,6100
28700,,23600,24200,14801,18700,10900,10800,3002,6300
29100,,24302,,14802,18900,11100,11203,3200,6500
29300,,25700,,15001,19100,11201,,3400,6700
29500,,25900,,15002,,11202,,3601,6900
29700,,,,15200,,11300,,3602,7100
29900,,,,15400,,11500,,3800,7300
30300,,,,15601,,11700,,4000,7500
30700,,,,15801,,11900,,4200,7700
30900,,,,16001,,12100,,,7900
31100,,,,23801,,12500,,,31703
,,,,23802,,12700,,,31704
,,,,,,12900,,,31900
,,,,,,13100,,,
,,,,,,13300,,,
,,,,,,13500,,,
,,,,,,13700,,,
,,,,,,13900,,,